1000038,Unlegacy-Android/android_device_samsung_espresso,114,[1000038],[1000038],"['audio/audio_hw.c', 'audio/tiny_hw_espresso10wifi.xml', 'audio/tiny_hw_espressowifi.xml', 'rootdir/init.espresso.rc']",Changes for working lineout via the keyboard- and desktop dock
1000038,Unlegacy-Android/android_device_samsung_espresso,114,[1000038],[1000038],"['audio/audio_hw.c', 'audio/tiny_hw_espresso10wifi.xml', 'audio/tiny_hw_espressowifi.xml', 'rootdir/init.espresso.rc']",Changes for working lineout via the keyboard- and desktop dock
1000038,Unlegacy-Android/android_device_samsung_espresso3g,113,[1000038],[1000038],"['audio/tiny_hw_espresso.xml', 'audio/tiny_hw_espresso10.xml']",Fixed the lineout via the keyboard- and desktop dock
1000038,Unlegacy-Android/android_device_samsung_espresso3g,113,[1000038],[1000038],"['audio/tiny_hw_espresso.xml', 'audio/tiny_hw_espresso10.xml']",Fixed the lineout via the keyboard- and desktop dock
1000038,Unlegacy-Android/android_device_samsung_espresso,114,[1000038],"[1000002, 1000038]","['audio/audio_hw.c', 'audio/tiny_hw_espresso10wifi.xml', 'audio/tiny_hw_espressowifi.xml', 'rootdir/init.espresso.rc']",Changes for working lineout via the keyboard- and desktop dock
1000038,Unlegacy-Android/android_kernel_ti_omap4,96,[1000038],"[1000002, 1000038]","['arch/arm/mach-omap2/board-espresso-connector.c', 'drivers/input/keyboard/sec_dock_keyboard.c', 'drivers/misc/30pin_con.c']",Fix driver crash fix for the keyboard- and desktop dock
1000038,Unlegacy-Android/android_device_samsung_espresso3g,113,[1000038],"[1000002, 1000038]","['audio/tiny_hw_espresso.xml', 'audio/tiny_hw_espresso10.xml']",Fixed the lineout via the keyboard- and desktop dock
1000223,Unlegacy-Android/android_kernel_nvidia_tegra3,4,[1000223],"[1000002, 1000223]",['drivers/video/backlight/pwm_bl.c'],pwm_bl: add missing EDP framework ifdefs
1000002,Unlegacy-Android/android_kernel_ti_omap4,4,[1000038],[1000038],['arch/arm/plat-omap/android-display.c'],OMAP: android-display: update tiler1d slot size calculation for newer DDKs
1000002,Unlegacy-Android/android_kernel_ti_omap4,8,"[1000002, 1000038]","[1000002, 1000003, 1000038]","['arch/arm/configs/espresso_defconfig', 'arch/arm/configs/tuna_defconfig', 'arch/arm/configs/espresso_kitkat_defconfig', 'arch/arm/configs/tuna_kitkat_defconfig']","tuna, espresso: disable OMAPLFB, enable SW_SYNC"
1000002,Unlegacy-Android/android_kernel_ti_omap4,2,"[1000002, 1000038]","[1000002, 1000003, 1000038]",['drivers/gpu/ion/omap/omap_tiler_heap.c'],ion: omap: [TEMP] Force page-aligned Tiler allocations
1000002,Unlegacy-Android/android_kernel_ti_omap4,45,"[1000002, 1000038]","[1000002, 1000003, 1000038]","['drivers/rpmsg/rpmsg_omx.c', 'include/linux/rpmsg_omx.h']",omap: rpmsg-omx: Switch to new PVR API
1000002,Unlegacy-Android/android_kernel_ti_omap4,2,"[1000002, 1000038]","[1000002, 1000003, 1000038]",['drivers/rpmsg/rpmsg_omx.c'],"Revert ""rpmsg: omx: return correct handle count in 'OMX_IOCPVRREGISTER'"""
1000003,Unlegacy-Android/android_hardware_ti_omap4,9,"[1000003, 1000002, 1000038]","[1000002, 1000003, 1000037, 1000038]",['pvr-source/services4/srvkm/env/linux/ion.c'],SGX-KM: ion: skip ion_phys check on the system heap
1000003,Unlegacy-Android/android_hardware_ti_omap4,137,"[1000002, 1000038]","[1000002, 1000037, 1000038]","['common.mk', 'libcorkscrew/Android.mk', 'libcorkscrew/corkscrew.c', 'libcorkscrew/corkscrew.h']",common: Remove unneeded libcorkscrew
1000003,Unlegacy-Android/android_hardware_ti_omap4,70,[1000038],"[1000002, 1000037, 1000038]",['pvr-source/services4/system/omap/sgxfreq_on3demand.c'],SGX-KM: sgxfreq: on3demand: add usage polling after render
