Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
782,openstack/kolla-ansible,11,"[22348, 23084, 30491, 30523]","[22348, 23084, 30491, 30523]","['openstack/cloud/_accelerator.py', 'openstack/cloud/_baremetal.py', 'openstack/cloud/_block_storage.py', 'openstack/cloud/_clustering.py', 'openstack/cloud/_dns.py', 'openstack/cloud/_object_store.py', 'openstack/cloud/_shared_file_system.py']",Change rabbit ha-all policy for transient queues,new
27900,openstack/openstacksdk,187,[27900],"[22348, 27900]","['openstack/cloud/_image.py', 'openstack/tests/unit/cloud/test_image.py', 'openstack/tests/unit/cloud/test_caching.py']",Get rid of normalization for image service,closed
27900,openstack/openstacksdk,43,[27900],"[22348, 27900]","['openstack/cloud/_identity.py', 'openstack/tests/unit/cloud/test_identity_roles.py']",Get rid of normalization in identity CL,closed
782,openstack/kolla-ansible,16,"[23084, 22348, 30523]","[23084, 22348, 30523]","['openstack/cloud/_identity.py', 'openstack/tests/unit/cloud/test_identity_roles.py']",Tune RabbitMQ HA for availability over consistency,new
31506,openstack/kolla-ansible,38,"[32029, 30491, 22629]","[22348, 22629, 30491, 32029]","['ansible/roles/storm/defaults/main.yml', 'ansible/roles/storm/handlers/main.yml', 'ansible/roles/storm/tasks/check-containers.yml', 'releasenotes/notes/implement-docker-healthchecks-for-storm-10d460e9b8f08a74.yaml']",Use Docker healthchecks for storm services,closed
4690,openstack/nova,65,"[22348, 11655, 7634]","[22348, 11655, 7634]","['ansible/roles/storm/defaults/main.yml', 'ansible/roles/storm/handlers/main.yml', 'ansible/roles/storm/tasks/check-containers.yml', 'releasenotes/notes/implement-docker-healthchecks-for-storm-10d460e9b8f08a74.yaml']",Ignore plug_vifs on the ironic driver,new
782,openstack/kolla-ansible,21,"[22348, 23084, 30491, 30523]","[22348, 23084, 30491, 30523]","['ansible/roles/storm/defaults/main.yml', 'ansible/roles/storm/handlers/main.yml', 'ansible/roles/storm/tasks/check-containers.yml', 'releasenotes/notes/implement-docker-healthchecks-for-storm-10d460e9b8f08a74.yaml']",Improve RabbitMQ performance by reducing ha replicas,new
26458,openstack/cyborg,6,"[22348, 31412]","[22348, 31412]","['ansible/roles/storm/defaults/main.yml', 'ansible/roles/storm/handlers/main.yml', 'ansible/roles/storm/tasks/check-containers.yml', 'releasenotes/notes/implement-docker-healthchecks-for-storm-10d460e9b8f08a74.yaml']",Add description of the device's parameter,new
32029,openstack/kolla-ansible,8,"[22348, 30491]","[22348, 30491]","['ansible/roles/storm/defaults/main.yml', 'ansible/roles/storm/handlers/main.yml', 'ansible/roles/storm/tasks/check-containers.yml', 'releasenotes/notes/implement-docker-healthchecks-for-storm-10d460e9b8f08a74.yaml']",Delete the logrotate files because they do not have separate logs,new
22629,openstack/kolla-ansible,19,"[22348, 14826, 30491, 27339]","[22348, 14826, 30491, 27339]","['ansible/roles/storm/defaults/main.yml', 'ansible/roles/storm/handlers/main.yml', 'ansible/roles/storm/tasks/check-containers.yml', 'releasenotes/notes/implement-docker-healthchecks-for-storm-10d460e9b8f08a74.yaml']",openvswitch: add option to set hw offload,new
31506,openstack/kolla-ansible,53,"[22348, 32029, 14826, 30491, 22629]","[22348, 32029, 14826, 30491, 22629]","['ansible/roles/storm/defaults/main.yml', 'ansible/roles/storm/handlers/main.yml', 'ansible/roles/storm/tasks/check-containers.yml', 'releasenotes/notes/implement-docker-healthchecks-for-storm-10d460e9b8f08a74.yaml']",Support enable/disable rabbitmq prometheus plugins,new
23950,openstack/cyborg,12,"[26458, 31412]","[22348, 25738, 26458, 31412]",['cyborg/tests/unit/objects/test_device.py'],Add ut for getting by non-existed id,closed
5314,openstack/cinder,30,[22348],[22348],['cyborg/tests/unit/objects/test_device.py'],DNM: checking test_reset_group_snapshot_status,new
10969,openstack/tripleo-ansible,48,"[14985, 12393, 13861, 8833]","[8833, 12393, 13861, 14985, 22348, 23181]","['tripleo_ansible/roles/tripleo_clients_install/vars/redhat-9.yml', 'tripleo_ansible/roles/tripleo_clients_install/vars/main.yml', 'tripleo_ansible/roles/tripleo_clients_install/vars/redhat-8.yml', 'tripleo_ansible/roles/tripleo_clients_install/vars/redhat.yml', 'tripleo_ansible/roles/tripleo_clients_install/vars/redhat-7.yml']",Make python3 as default python prefix for clients,closed
28619,openstack/requirements,2,[14288],"[14288, 22348]",['upper-constraints.txt'],Update amqp version,closed
32074,openstack/cinder,161,"[22348, 7198, 12670, 9535, 1736, 32761, 32266, 32036]","[22348, 7198, 12670, 9535, 1736, 32761, 32266, 32036]",['upper-constraints.txt'],[SVF] Add cleanrate in volume-type extra specs,new
32291,openstack/tripleo-ci,4,"[7144, 14985, 22954]","[7144, 14985, 22348, 22954]",['tox.ini'],Changed minversion in tox to 3.18.0,closed
24245,openstack/tripleo-heat-templates,75,[14985],"[14985, 22348, 23181]",['extraconfig/post_deploy/undercloud_ctlplane_network.py'],Fix IPv6 router on UC re-install,closed
28071,x/trio2o,367,[22348],[22348],['extraconfig/post_deploy/undercloud_ctlplane_network.py'],update hacking reference url Signed-off-by: zhangchi <zhangchi@szzt.com.cn> Co-Authored-by: tangzhuo <ztang@hnu.edu.cn>,new
22997,openstack/diskimage-builder,149,"[7118, 6469]","[6469, 7118, 15054, 22076, 22348, 28035]","['.zuul.d/jobs.yaml', '.zuul.d/project.yaml', 'diskimage_builder/elements/openeuler-minimal/README.rst', 'diskimage_builder/elements/openeuler-minimal/element-deps', 'diskimage_builder/elements/openeuler-minimal/element-provides', 'diskimage_builder/elements/openeuler-minimal/environment.d/10-openeuler-distro-name.bash', 'diskimage_builder/elements/openeuler-minimal/environment.d/11-yum-dnf.bash', 'diskimage_builder/elements/openeuler-minimal/package-installs.yaml', 'diskimage_builder/elements/openeuler-minimal/root.d/00-generate-repo', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP1-build-succeeds/README.rst', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP1-build-succeeds/element-deps', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP1-build-succeeds/environment.d/10-set-distro.bash', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP1-build-succeeds/test-output-formats', 'diskimage_builder/elements/pkg-map/README.rst', 'diskimage_builder/elements/pkg-map/bin/pkg-map', 'diskimage_builder/elements/redhat-common/README.rst', 'diskimage_builder/elements/redhat-common/pkg-map', 'diskimage_builder/elements/yum-minimal/package-installs.yaml', 'diskimage_builder/elements/yum-minimal/pkg-map', 'diskimage_builder/elements/yum-minimal/root.d/08-yum-chroot', 'doc/source/user_guide/supported_distros.rst', 'releasenotes/notes/add-openeuler-minimal-element-068dc7d9d94e5098.yaml', 'diskimage_builder/elements/openeuler-minimal/root.d/00-00-generate-repo', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP2-build-succeeds/README.rst', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP2-build-succeeds/element-deps', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP2-build-succeeds/environment.d/10-set-distro.bash', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP2-build-succeeds/test-output-formats', 'diskimage_builder/elements/openstack-ci-mirrors/environment.d/11-dib-distribution-mirror.bash', 'roles/dib-setup-gate-mirrors/tasks/main.yaml', 'roles/dib-setup-gate-mirrors/templates/openeuler-minimal/20.03-LTS-SP2/openEuler.repo.j2']",Introduce openEuler distro,closed
15334,openstack/nova,83,"[9708, 22348, 15334]","[9708, 22348, 15334]","['.zuul.d/jobs.yaml', '.zuul.d/project.yaml', 'diskimage_builder/elements/openeuler-minimal/README.rst', 'diskimage_builder/elements/openeuler-minimal/element-deps', 'diskimage_builder/elements/openeuler-minimal/element-provides', 'diskimage_builder/elements/openeuler-minimal/environment.d/10-openeuler-distro-name.bash', 'diskimage_builder/elements/openeuler-minimal/environment.d/11-yum-dnf.bash', 'diskimage_builder/elements/openeuler-minimal/package-installs.yaml', 'diskimage_builder/elements/openeuler-minimal/root.d/00-generate-repo', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP1-build-succeeds/README.rst', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP1-build-succeeds/element-deps', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP1-build-succeeds/environment.d/10-set-distro.bash', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP1-build-succeeds/test-output-formats', 'diskimage_builder/elements/pkg-map/README.rst', 'diskimage_builder/elements/pkg-map/bin/pkg-map', 'diskimage_builder/elements/redhat-common/README.rst', 'diskimage_builder/elements/redhat-common/pkg-map', 'diskimage_builder/elements/yum-minimal/package-installs.yaml', 'diskimage_builder/elements/yum-minimal/pkg-map', 'diskimage_builder/elements/yum-minimal/root.d/08-yum-chroot', 'doc/source/user_guide/supported_distros.rst', 'releasenotes/notes/add-openeuler-minimal-element-068dc7d9d94e5098.yaml', 'diskimage_builder/elements/openeuler-minimal/root.d/00-00-generate-repo', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP2-build-succeeds/README.rst', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP2-build-succeeds/element-deps', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP2-build-succeeds/environment.d/10-set-distro.bash', 'diskimage_builder/elements/openeuler-minimal/test-elements/20.03-LTS-SP2-build-succeeds/test-output-formats', 'diskimage_builder/elements/openstack-ci-mirrors/environment.d/11-dib-distribution-mirror.bash', 'roles/dib-setup-gate-mirrors/tasks/main.yaml', 'roles/dib-setup-gate-mirrors/templates/openeuler-minimal/20.03-LTS-SP2/openEuler.repo.j2']",db: Remove use of 'bind' arguments,new
18575,openstack/tripleo-heat-templates,2,"[14985, 8833]","[8833, 14985, 22348, 27419]",['deployment/openvswitch/openvswitch-dpdk-baremetal-ansible.yaml'],[Wallaby] Fix wrong resource name for ovs-dpdk service,closed
9816,openstack/puppet-tripleo,32,[14985],"[14985, 22348, 23181]","['manifests/profile/base/horizon.pp', 'spec/classes/tripleo_profile_base_horizon_spec.rb']",Horizon: Enable manila-dashboard configurations,closed
22076,openstack/devstack,102,"[30491, 13252, 22997]","[7118, 13252, 22076, 22348, 22997, 29963, 30491, 31882]","['files/rpms-openeuler/ceph', 'files/rpms-openeuler/cinder', 'files/rpms-openeuler/dstat', 'files/rpms-openeuler/general', 'files/rpms-openeuler/horizon', 'files/rpms-openeuler/keystone', 'files/rpms-openeuler/ldap', 'files/rpms-openeuler/n-cpu', 'files/rpms-openeuler/neutron-agent', 'files/rpms-openeuler/neutron-common', 'files/rpms-openeuler/neutron-l3', 'files/rpms-openeuler/nova', 'files/rpms-openeuler/openvswitch', 'files/rpms-openeuler/os-brick', 'files/rpms-openeuler/ovn', 'files/rpms-openeuler/q-agt', 'files/rpms-openeuler/q-l3', 'files/rpms-openeuler/swift', 'functions-common', 'inc/python', 'lib/apache', 'lib/cinder', 'lib/databases/mysql', 'lib/databases/postgresql', 'lib/horizon', 'lib/ldap', 'lib/lvm', 'lib/neutron_plugins/ovs_base', 'lib/nova', 'lib/nova_plugins/functions-libvirt', 'lib/nova_plugins/hypervisor-libvirt', 'lib/rpc_backend', 'stack.sh', 'tools/install_pip.sh', 'tools/install_prereqs.sh', 'tools/fixup_stuff.sh', 'tools/cap-pip.txt', 'files/rpms/ceph', 'files/rpms/general', 'files/rpms/nova', 'files/rpms/q-agt', 'files/rpms/q-l3', '.zuul.yaml', 'playbooks/openeuler/pre.yaml', 'roles/apache-logs-conf/tasks/main.yaml', 'doc/source/index.rst', 'files/rpms/swift']",openEuler 20.03 LTS SP2 support,closed
34340,openstack/networking-sfc,24,"[22348, 32238, 32102]","[22348, 32238, 32102]","['files/rpms-openeuler/ceph', 'files/rpms-openeuler/cinder', 'files/rpms-openeuler/dstat', 'files/rpms-openeuler/general', 'files/rpms-openeuler/horizon', 'files/rpms-openeuler/keystone', 'files/rpms-openeuler/ldap', 'files/rpms-openeuler/n-cpu', 'files/rpms-openeuler/neutron-agent', 'files/rpms-openeuler/neutron-common', 'files/rpms-openeuler/neutron-l3', 'files/rpms-openeuler/nova', 'files/rpms-openeuler/openvswitch', 'files/rpms-openeuler/os-brick', 'files/rpms-openeuler/ovn', 'files/rpms-openeuler/q-agt', 'files/rpms-openeuler/q-l3', 'files/rpms-openeuler/swift', 'functions-common', 'inc/python', 'lib/apache', 'lib/cinder', 'lib/databases/mysql', 'lib/databases/postgresql', 'lib/horizon', 'lib/ldap', 'lib/lvm', 'lib/neutron_plugins/ovs_base', 'lib/nova', 'lib/nova_plugins/functions-libvirt', 'lib/nova_plugins/hypervisor-libvirt', 'lib/rpc_backend', 'stack.sh', 'tools/install_pip.sh', 'tools/install_prereqs.sh', 'tools/fixup_stuff.sh', 'tools/cap-pip.txt', 'files/rpms/ceph', 'files/rpms/general', 'files/rpms/nova', 'files/rpms/q-agt', 'files/rpms/q-l3', '.zuul.yaml', 'playbooks/openeuler/pre.yaml', 'roles/apache-logs-conf/tasks/main.yaml', 'doc/source/index.rst', 'files/rpms/swift']",remove unicode from code,new
9816,openstack/puppet-tripleo,30,[14985],"[14985, 22348, 23181]","['manifests/profile/base/horizon.pp', 'spec/classes/tripleo_profile_base_horizon_spec.rb']",Horizon: Enable octavia-dashboard configurations,closed
9816,openstack/puppet-tripleo,28,[14985],"[14985, 22348, 23181]","['manifests/profile/base/horizon.pp', 'spec/classes/tripleo_profile_base_horizon_spec.rb']",Horizon: Enable heat-dashboard configurations,closed
28619,openstack/openstack-ansible-os_gnocchi,12,"[25023, 28619]","[22348, 25023, 28619]",['vars/main.yml'],Do not provide ceph_alternative extra for ceph,closed
28619,openstack/ansible-role-python_venv_build,2,"[25023, 16011]","[16011, 22348, 25023]",['tasks/main.yml'],Fix wheel build alert condition,closed
9816,openstack/puppet-tripleo,81,"[7144, 14985]","[7144, 14985, 22348, 23181]",['manifests/profile/base/keepalived.pp'],Remove leftover of keepalived support,closed
9816,openstack/puppet-glance,345,"[21129, 14985]","[14985, 16137, 21129, 22348]","['manifests/backend/multistore/s3.pp', 'releasenotes/notes/restore-s3-support-82e63d83b1184cdf.yaml', 'spec/defines/glance_backend_multistore_s3_spec.rb', 'manifests/backend/s3.pp', 'manifests/params.pp']",Re-add support for S3 backend,closed
9816,openstack/puppet-glance,12,"[16137, 14985]","[14985, 16137, 22348]","['manifests/cron/db_purge.pp', 'manifests/cron/db_purge_images_table.pp', 'spec/classes/glance_cron_db_purge_images_table_spec.rb', 'spec/classes/glance_cron_db_purge_spec.rb']",Enable DB purge cron job after database is initialized,closed
9816,openstack/puppet-heat,19,"[16137, 14985]","[14985, 16137, 22348]","['manifests/cron/purge_deleted.pp', 'spec/classes/heat_cron_purge_deleted_spec.rb']",Enable DB purge cron job after database is initialized,closed
9816,openstack/puppet-mistral,30,"[16137, 14985]","[14985, 16137, 22348]","['spec/spec_helper.rb', 'spec/unit/provider/mistral_config/openstackconfig_spec.rb', 'spec/unit/provider/mistral_config/ini_setting_spec.rb']",Load libraries in a single place,closed
9816,openstack/puppet-mistral,38,"[16137, 14985]","[14985, 16137, 22348]","['lib/puppet/provider/mistral_config/ini_setting.rb', 'lib/puppet/provider/mistral_config/openstackconfig.rb', 'lib/puppet/type/mistral_config.rb', 'spec/unit/provider/mistral_config/openstackconfig_spec.rb', 'spec/unit/type/mistral_config_spec.rb']",Add support for MultiStrOpt,closed
9816,openstack/puppet-keystone,6,"[16137, 14985]","[14985, 16137, 22348]","['manifests/cron/trust_flush.pp', 'spec/classes/keystone_cron_trust_flush_spec.rb']",Enable trust flush cron job after database is initialized,closed
9816,openstack/puppet-vswitch,59,"[16137, 14985]","[14985, 16137, 22348]","['manifests/dpdk.pp', 'manifests/ovs.pp', 'releasenotes/notes/replace-os_service_default-25185711be0702a9.yaml', 'spec/classes/vswitch_dpdk_spec.rb', 'spec/classes/vswitch_ovs_spec.rb']",Use undef instead of $::os_service_default,closed
9816,openstack/puppet-zaqar,30,"[16137, 14985]","[14985, 16137, 22348]","['spec/spec_helper.rb', 'spec/unit/provider/zaqar_config/openstackconfig_spec.rb', 'spec/unit/provider/zaqar_config/ini_setting_spec.rb']",Load libraries in a single place,closed
9816,openstack/puppet-zaqar,38,"[16137, 14985]","[14985, 16137, 22348]","['lib/puppet/provider/zaqar_config/ini_setting.rb', 'lib/puppet/provider/zaqar_config/openstackconfig.rb', 'lib/puppet/type/zaqar_config.rb', 'spec/unit/provider/zaqar_config/openstackconfig_spec.rb', 'spec/unit/type/zaqar_config_spec.rb']",Add support for MultiStrOpt,closed
9816,openstack/puppet-vswitch,22,"[16137, 14985]","[14985, 16137, 22348]","['manifests/dpdk.pp', 'manifests/ovs.pp', 'spec/classes/vswitch_ovs_spec.rb', 'spec/classes/vswitch_dpdk_spec.rb']",Ensure hardware offload is disabled,closed
9816,openstack/puppet-vswitch,13,"[16137, 14985]","[14985, 16137, 22348]","['manifests/dpdk.pp', 'releasenotes/notes/remove-dpdk-driver_type-81f749f31a0501bd.yaml']",Remove deprecated ovs::dpdk::driver_type,closed
9816,openstack/puppet-trove,107,"[16137, 14985]","[14985, 16137, 22348]","['spec/spec_helper.rb', 'spec/unit/provider/trove_config/ini_setting_spec.rb', 'spec/unit/provider/trove_conductor_config/openstackconfig_spec.rb', 'spec/unit/provider/trove_config/openstackconfig_spec.rb', 'spec/unit/provider/trove_guestagent_config/openstackconfig_spec.rb', 'spec/unit/provider/trove_taskmanager_config/openstackconfig_spec.rb']",Load libraries in a single place,closed
9816,openstack/puppet-trove,338,"[16137, 14985]","[14985, 16137, 22348]","['lib/puppet/provider/trove_conductor_config/ini_setting.rb', 'lib/puppet/provider/trove_conductor_config/openstackconfig.rb', 'lib/puppet/provider/trove_config/ini_setting.rb', 'lib/puppet/provider/trove_config/openstackconfig.rb', 'lib/puppet/provider/trove_guestagent_config/ini_setting.rb', 'lib/puppet/provider/trove_guestagent_config/openstackconfig.rb', 'lib/puppet/provider/trove_taskmanager_config/ini_setting.rb', 'lib/puppet/provider/trove_taskmanager_config/openstackconfig.rb', 'lib/puppet/type/trove_conductor_config.rb', 'lib/puppet/type/trove_config.rb', 'lib/puppet/type/trove_guestagent_config.rb', 'lib/puppet/type/trove_taskmanager_config.rb', 'spec/unit/provider/trove_config/openstackconfig_spec.rb', 'spec/unit/type/trove_conductor_config_spec.rb', 'spec/unit/type/trove_config_spec.rb', 'spec/unit/type/trove_guestagent_config_spec.rb', 'spec/unit/type/trove_taskmanager_config_spec.rb', 'spec/unit/provider/trove_conductor_config/openstackconfig_spec.rb', 'spec/unit/provider/trove_guestagent_config/openstackconfig_spec.rb', 'spec/unit/provider/trove_taskmanager_config/openstackconfig_spec.rb']",Add support for MultiStrOpt,closed
9816,openstack/puppet-aodh,6,"[16137, 14985]","[14985, 16137, 22348]","['manifests/expirer.pp', 'spec/classes/aodh_expirer_spec.rb']",Enable aodh-expirer cron job after database is initialized,closed
28410,starlingx/root,2,"[28410, 15435]","[15435, 22348, 28410, 28466]",['build-tools/sign-secure-boot'],Add -v flag to warn secure boot signing of the /var prefix,closed
9816,openstack/puppet-aodh,170,"[16137, 14985]","[14985, 16137, 22348]","['manifests/auth.pp', 'manifests/service_credentials.pp', 'releasenotes/notes/remove-auth-a6bc72e8a060d33a.yaml', 'spec/classes/aodh_auth_spec.rb']",Remove deprecated aodh::auth,closed
9816,openstack/puppet-designate,8,"[16137, 14985]","[14985, 16137, 22348]","['manifests/init.pp', 'manifests/generic_service.pp']",Remove redundant message to notify configuration change,closed
14826,openstack/kolla-ansible,2,[30491],"[13252, 22348, 30491]",['tests/check-failure.sh'],CI: future-proof return semantics in check-failure.sh,closed
9816,openstack/puppet-magnum,73,"[16137, 14985]","[14985, 16137, 22348]","['spec/spec_helper.rb', 'spec/unit/provider/magnum_api_paste_ini/ini_setting_spec.rb', 'spec/unit/provider/magnum_api_uwsgi_config/ini_setting_spec.rb', 'spec/unit/provider/magnum_config/ini_setting_spec.rb']",Load libraries in a single place,closed
9816,openstack/puppet-magnum,0,"[16137, 14985]","[14985, 16137, 22348]","['spec/acceptance/basic_magnum_spec.rb', 'spec/classes/magnum_api_spec.rb', 'spec/classes/magnum_keystone_authtoken_spec.rb', 'spec/classes/magnum_keystone_keystone_auth_spec.rb']",Remove unnecessary +x from _spec.rb,closed
9816,openstack/puppet-magnum,13,"[16137, 14985]","[14985, 16137, 22348]","['manifests/api.pp', 'manifests/wsgi/apache.pp', 'spec/classes/magnum_wsgi_apache_spec.rb']",Clean up direct dependencies on puppetlabs-apache,closed
9816,openstack/puppet-openstack-integration,46,"[16137, 14985]","[14985, 16137, 22348]","['zuul.d/integration.yaml', 'zuul.d/layout.yaml']",[Train-only] Switch integration jobs to CentOS 8 Stream,closed
